Category,Question,Answer
Licensing,What do you need to legally operate a motorcycle on Montana public roads?,A valid driver license with a motorcycle endorsement.
Licensing,What is the minimum age to obtain a motorcycle endorsement in Montana?,16 years old (or 15 with an approved driver's education course).
Licensing,What are the five parts of the Montana motorcycle driver examination?,"1) Driving record review, 2) Physical aptitude review, 3) Vision test, 4) Written test, 5) Road test."
Licensing,How long is a Montana motorcycle learner permit valid?,One year from the date you pass the knowledge test.
Licensing,What does a motorcycle learner permit allow you to do?,Operate any motor-driven cycle under the immediate supervision of a licensed driver who has a valid license for motor-driven cycles.
Licensing,What is the annual fee for a motorcycle endorsement in Montana?,$0.50 cents per year.
Equipment,"How many headlamps must your motorcycle have, and when must they be on?","At least 1 (but not more than 2), illuminated at ALL times. Must illuminate at least 500 feet ahead."
Equipment,How far must your taillight and reflector be visible?,At least 500 feet.
Equipment,How far must your stoplight be visible in normal sunlight?,100 feet.
Equipment,What is the rearview mirror requirement?,It must provide a clear view of the road for at least 200 feet to the rear.
Equipment,What brake requirement must your motorcycle meet?,At least one brake that can be operated by foot or hand.
Equipment,What muffler rules apply to motorcycles in Montana?,Your bike must have a muffler with no modifications that increase sound. Riding in a national park requires a spark arrestor.
Equipment,What additional equipment should a motorcycle have beyond the legal minimum?,"Passenger footrests/pegs, a horn audible for 200 feet, and a license plate light."
Safety Awareness,What must you do when an emergency vehicle uses audio and visual signals?,"Yield the right-of-way, immediately drive to a position parallel and as close as possible to the right-hand edge or curb of the road."
Safety Awareness,"On highways 50+ MPH, what should you do near a stationary emergency vehicle?","Slow to at least 20 MPH below the posted limit and, when possible, move to a lane farther away from the stationary vehicle."
Protective Gear,What are the three most important items of protective gear?,"1) A DOT-compliant helmet, 2) Face or eye protection, 3) Protective clothing."
Protective Gear,What are the two primary types of helmets?,Three-quarter (or open-face) and full-face.
Protective Gear,How should a helmet fit properly?,"It should meet U.S. DOT and state standards, fit snugly all the way around, and have no obvious defects (loose padding, frayed straps, cracks)."
Protective Gear,What statistics make helmets critical?,One out of every five motorcycle crashes results in head/neck injuries. Helmeted riders are 3x more likely to survive head injuries. Most crashes happen < 5 miles from home at < 30 mph.
Protective Gear,What must effective eye or face protection do?,"Be free of scratches, be resistant to penetration, give a clear view to either side, fasten securely, permit airflow to reduce fogging, and permit room for eyeglasses if needed."
Protective Gear,Why shouldn't you rely on a windshield for eye protection?,"Most windshields will not protect your eyes from the wind, and neither will eyeglasses or sunglasses. They might blow off when you turn your head."
Protective Gear,What clothing is recommended for motorcycle riding?,"Jacket and pants covering arms/legs completely (leather is best), sturdy boots/shoes with slip-resistant soles covering ankles, and leather gloves."
Protective Gear,Why is hearing protection recommended?,Long-term exposure to engine and wind noise can cause permanent hearing damage. Hearing protection still lets you hear important sounds like horns and sirens.
Know Your Motorcycle,What should your street-legal motorcycle have at minimum?,"Headlight, taillight, brakelight, front and rear brakes, turn signals, horn, and two mirrors."
Know Your Motorcycle,How should you choose the right motorcycle for you?,"It should 'fit' you: feet reach the ground when seated, controls are easy to operate. Smaller motorcycles are usually easier for beginners."
Know Your Motorcycle,What should you do before riding a borrowed or unfamiliar motorcycle?,"Make all the checks you would on your own motorcycle, find out where everything is (turn signals, horn, headlight switch, fuel-supply valve, engine cut-off switch), and ride cautiously in a controlled area first."
T-CLOCS,What does T-CLOCS stand for?,"T = Tires & Wheels, C = Controls, L = Lights & Electrics, O = Oil & Other Fluids, C = Chassis, S = Stands."
T-CLOCS,What should you check for Tires & Wheels (T)?,"Tire inflation pressure, treadwear, condition of sidewalls, and tread surface."
T-CLOCS,What should you check for Controls (C)?,Clutch and throttle operate smoothly; throttle snaps back to closed when released; both brakes feel firm and hold the motorcycle.
